station_id,station_name
1,CLARENDON ROW
2,BLESSINGTON STREET
3,BOLTON STREET
4,GREEK STREET
5,CHARLEMONT PLACE
6,CHRISTCHURCH PLACE
7,HIGH STREET
8,CUSTOM HOUSE QUAY
9,EXCHEQUER STREET
10,DAME STREET
11,EARLSFORT TERRACE
12,ECCLES STREET
13,FITZWILLIAM SQUARE WEST
14,FOWNES STREET UPPER
15,HARDWICKE STREET
16,GEORGES QUAY
17,GOLDEN LANE
18,GRANTHAM STREET
19,HERBERT PLACE
20,JAMES STREET EAST
21,LEINSTER STREET SOUTH
22,TOWNSEND STREET
23,CUSTOM HOUSE
24,CATHAL BRUGHA STREET
25,MERRION SQUARE EAST
26,MERRION SQUARE WEST
27,MOLESWORTH STREET
28,MOUNTJOY SQUARE WEST
29,ORMOND QUAY UPPER
30,PARNELL SQUARE NORTH
31,PARNELL STREET
32,PEARSE STREET
33,PRINCES STREET / O'CONNELL STREET
34,LENNOX STREET
35,SMITHFIELD
36,ST. STEPHEN'S GREEN EAST
37,ST. STEPHEN'S GREEN SOUTH
38,TALBOT STREET
39,WILTON TERRACE
40,JERVIS STREET
41,HARCOURT TERRACE
42,SMITHFIELD NORTH
43,PORTOBELLO ROAD
44,UPPER SHERRARD STREET
45,DEVERELL PLACE
47,HERBERT STREET
48,EXCISE WALK
49,GUILD STREET
50,GEORGES LANE
51,YORK STREET WEST
52,YORK STREET EAST
53,NEWMAN HOUSE
54,CLONMEL STREET
55,HATCH STREET
56,MOUNT STREET LOWER
57,GRATTAN STREET
58,SIR PATRICK DUN'S
59,DENMARK STREET GREAT
60,NORTH CIRCULAR ROAD
61,HARDWICKE PLACE
62,LIME STREET
63,FENIAN STREET
64,SANDWITH STREET
65,CONVENTION CENTRE
66,NEW CENTRAL BANK
67,THE POINT
68,HANOVER QUAY
69,GRAND CANAL DOCK
70,BARROW STREET
71,KEVIN STREET
72,JOHN STREET WEST
73,FRANCIS STREET
74,OLIVER BOND STREET
75,JAMES STREET
76,MARKET STREET SOUTH
77,WOLFE TONE STREET
78,MATER HOSPITAL
79,ECCLES STREET EAST
80,ST JAMES HOSPITAL (LUAS)
82,MOUNT BROWN
83,EMMET ROAD
84,BROOKFIELD ROAD
85,ROTHE ABBEY
86,PARKGATE STREET
87,COLLINS BARRACKS MUSEUM
88,BLACKHALL PLACE
89,FITZWILLIAM SQUARE EAST
90,BENSON STREET
91,SOUTH DOCK ROAD
92,HEUSTON BRIDGE (NORTH)
93,HEUSTON STATION (CENTRAL)
94,HEUSTON STATION (CAR PARK)
95,ROYAL HOSPITAL
96,KILMAINHAM LANE
97,KILMAINHAM GAOL
98,FREDERICK STREET SOUTH
99,CITY QUAY
100,HEUSTON BRIDGE (SOUTH)
101,KING STREET NORTH
102,WESTERN WAY
103,GRANGEGORMAN LOWER (SOUTH)
104,GRANGEGORMAN LOWER (CENTRAL)
105,GRANGEGORMAN LOWER (NORTH)
106,RATHDOWN ROAD
107,CHARLEVILLE ROAD
108,AVONDALE ROAD
109,BUCKINGHAM STREET LOWER
110,PHIBSBOROUGH ROAD
111,MOUNTJOY SQUARE EAST
112,NORTH CIRCULAR ROAD (O'CONNELL'S)
113,MERRION SQUARE SOUTH
114,WILTON TERRACE (PARK)
115,KILLARNEY STREET
116,BROADSTONE
117,HANOVER QUAY EAST
